SN,OPERATOR,DATE,TIME,STEP1,STEP2,STEP3,STEP4
MAT1617CS01,Saba,2018-08-27,20:33:42,4.87,5.77,5.65,5.54
MAT1617CS01,Saba,2018-08-27,20:39:58,3.62,5.54,5.65,5.31
MAT1617CS01,Saba,2018-08-27,20:41:17,3.99,5.46,5.42,5.39
MAT1617CS01,Saba,2018-08-27,20:42:55,3.84,5.42,5.50,5.39
MAT1617CS01,Saba,2018-08-27,20:44:19,3.71,5.35,5.37,5.30
MAT1617CS01,Saba,2018-08-27,20:45:56,3.80,5.45,5.42,5.22
MAT2918CJ06,Andrew,2018-08-27,20:57:52,7.11,7.91,7.91,7.99
MAT2918CJ06,Andrew,2018-08-27,20:59:11,6.95,7.88,7.83,7.90
MAT2918CJ06,Andrew,2018-08-27,21:02:29,5.75,7.82,7.82,7.78
MAT2918CJ06,Andrew,2018-08-27,21:03:56,5.74,7.82,7.83,7.83
MAT2918CJ06,Andrew,2018-08-27,21:05:20,5.70,7.79,7.77,7.77
MAT2918CJ06,Andrew,2018-08-27,21:06:49,6.73,8.00,7.94,7.87
MAT2918CJ07,Andrew,2018-08-27,21:15:08,-0.09,0.31,0.22,0.20
MAT2918CJ07,Andrew,2018-08-27,21:17:30,-0.05,0.04,-0.23,-0.14
MAT2918CJ07,Andrew,2018-08-27,21:18:54,-0.01,0.29,0.26,0.41
MAT2918CJ07,Andrew,2018-08-27,21:20:13,-1.28,-0.22,1.85,0.16
MAT2918CJ07,Andrew,2018-08-27,21:21:35,-0.17,0.06,0.38,0.65
MAT2918CJ08,Andrew,2018-08-27,21:39:18,-0.91,0.01,-0.09,-0.09
MAT2918CJ08,Andrew,2018-08-27,21:40:39,0.31,0.01,0.02,-0.07
MAT2918CJ08,Andrew,2018-08-27,21:42:01,0.31,-0.12,-0.13,-0.11
MAT2918CJ08,Andrew,2018-08-27,21:43:31,0.18,-0.26,-0.11,-0.40
MAT2918CJ08,Andrew,2018-08-27,21:44:53,0.21,-0.61,-0.49,-0.48
